truth_class,Predicted_class
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,squat
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,bench pressing
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,finger snapping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,shooting goal (soccer)
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,spinning poi
hula hooping,hula hooping
hula hooping,sweeping floor
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,hula hooping
hula hooping,roller skating
pushing wheelchair,pushing wheelchair
pushing wheelchair,moving furniture
pushing wheelchair,pushing wheelchair
pushing wheelchair,pushing wheelchair
pushing wheelchair,pushing wheelchair
pushing wheelchair,answering questions
pushing wheelchair,pushing wheelchair
pushing wheelchair,dancing ballet
pushing wheelchair,pushing wheelchair
pushing wheelchair,pushing wheelchair
pushing wheelchair,pushing wheelchair
pushing wheelchair,dancing ballet
pushing wheelchair,faceplanting
pushing wheelchair,pushing wheelchair
pushing wheelchair,getting a tattoo
pushing wheelchair,pushing wheelchair
pushing wheelchair,doing laundry
pushing wheelchair,pushing wheelchair
pushing wheelchair,tossing coin
pushing wheelchair,barbequing
pushing wheelchair,pushing wheelchair
pushing wheelchair,pushing wheelchair
pushing wheelchair,pushing wheelchair
pushing wheelchair,moving furniture
sailing,abseiling
sailing,sailing
sailing,windsurfing
sailing,sailing
sailing,sailing
sailing,sailing
sailing,celebrating
sailing,sailing
sailing,sailing
sailing,kissing
sailing,sailing
sailing,sailing
sailing,windsurfing
sailing,eating hotdog
sailing,playing ukulele
sailing,kitesurfing
sailing,sailing
sailing,sailing
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
bartending,bartending
headbutting,headbutting
headbutting,punching person (boxing)
headbutting,slapping
headbutting,crying
headbutting,playing basketball
headbutting,playing bagpipes
headbutting,drop kicking
headbutting,headbutting
headbutting,dunking basketball
headbutting,headbutting
headbutting,baby waking up
headbutting,laughing
headbutting,wrestling
headbutting,punching bag
headbutting,pull ups
headbutting,belly dancing
headbutting,archery
headbutting,playing paintball
headbutting,headbutting
headbutting,slapping
headbutting,laughing
headbutting,slapping
headbutting,headbutting
riding scooter,riding scooter
riding scooter,passing American football (not in game)
riding scooter,riding scooter
riding scooter,disc golfing
riding scooter,riding scooter
riding scooter,motorcycling
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,hula hooping
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,holding snake
riding scooter,riding scooter
riding scooter,catching or throwing baseball
riding scooter,riding a bike
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,pushing cart
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,skateboarding
riding scooter,motorcycling
riding scooter,passing American football (not in game)
riding scooter,riding scooter
riding scooter,mowing lawn
riding scooter,riding scooter
riding scooter,petting cat
riding scooter,riding scooter
riding scooter,riding a bike
riding scooter,riding scooter
riding scooter,riding scooter
riding scooter,riding scooter
washing hair,dying hair
washing hair,washing hair
washing hair,washing hair
washing hair,shaving head
washing hair,washing hair
washing hair,fixing hair
washing hair,washing hair
washing hair,tying knot (not on a tie)
washing hair,dying hair
washing hair,fixing hair
washing hair,washing hair
washing hair,washing hair
washing hair,counting money
washing hair,washing hair
washing hair,cooking chicken
washing hair,washing hair
washing hair,washing hair
washing hair,washing dishes
unloading truck,unloading truck
unloading truck,playing paintball
unloading truck,using remote controller (not gaming)
unloading truck,ski jumping
unloading truck,unloading truck
unloading truck,unloading truck
unloading truck,garbage collecting
unloading truck,unloading truck
unloading truck,garbage collecting
unloading truck,digging
unloading truck,building shed
unloading truck,unloading truck
unloading truck,unloading truck
unloading truck,ice skating
unloading truck,unloading truck
unloading truck,unloading truck
unloading truck,driving tractor
unloading truck,unloading truck
unloading truck,barbequing
unloading truck,moving furniture
unloading truck,archery
unloading truck,unloading truck
unloading truck,driving tractor
scuba diving,scuba diving
scuba diving,snorkeling
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,snorkeling
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,catching or throwing frisbee
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,snorkeling
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,snorkeling
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
scuba diving,scuba diving
playing saxophone,playing saxophone
playing saxophone,robot dancing
playing saxophone,playing saxophone
playing saxophone,playing clarinet
playing saxophone,playing saxophone
playing saxophone,playing saxophone
playing saxophone,playing clarinet
playing saxophone,playing saxophone
playing saxophone,playing saxophone
playing saxophone,bartending
playing saxophone,playing saxophone
playing saxophone,playing clarinet
playing saxophone,playing saxophone
playing saxophone,playing clarinet
playing saxophone,playing saxophone
playing saxophone,playing clarinet
playing saxophone,playing saxophone
playing saxophone,playing saxophone
playing saxophone,answering questions
playing saxophone,playing saxophone
playing saxophone,singing
playing saxophone,playing saxophone
playing saxophone,playing saxophone
playing saxophone,playing saxophone
playing saxophone,playing clarinet
jogging,eating doughnuts
jogging,dancing ballet
jogging,jogging
jogging,hopscotch
jogging,riding unicycle
jogging,baby waking up
jogging,jogging
jogging,riding scooter
jogging,texting
jogging,jogging
jogging,cartwheeling
jogging,jogging
jogging,jogging
jogging,waiting in line
jogging,exercising with an exercise ball
jogging,jogging
jogging,answering questions
jogging,cooking egg
jogging,walking the dog
jogging,cartwheeling
jogging,tai chi
jogging,jogging
jogging,disc golfing
jogging,answering questions
jogging,lunge
cheerleading,zumba
cheerleading,tap dancing
cheerleading,playing kickball
cheerleading,dancing ballet
cheerleading,high kick
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,yoga
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,news anchoring
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,tai chi
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,waiting in line
cheerleading,skipping rope
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cheerleading,cheerleading
cutting nails,cutting nails
cutting nails,grooming dog
cutting nails,cutting nails
cutting nails,headbanging
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,baby waking up
cutting nails,petting animal (not cat)
cutting nails,baby waking up
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,washing hands
cutting nails,cutting nails
cutting nails,smoking
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,cutting nails
cutting nails,laughing
cutting nails,doing nails
cutting nails,feeding birds
cutting nails,cutting nails
cutting nails,making jewelry
cutting nails,grooming dog
cutting nails,doing nails
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,chopping wood
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,bobsledding
shoveling snow,shoveling snow
shoveling snow,sign language interpreting
shoveling snow,pushing car
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,ice fishing
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
shoveling snow,shoveling snow
writing,tai chi
writing,writing
writing,writing
writing,writing
writing,writing
writing,texting
writing,writing
writing,writing
writing,writing
writing,writing
writing,reading book
writing,writing
writing,building shed
writing,washing hands
writing,writing
writing,dining
writing,writing
writing,shuffling cards
writing,doing nails
writing,news anchoring
writing,writing
writing,drawing
writing,writing
writing,writing
writing,writing
writing,writing
writing,writing
writing,writing
writing,sharpening pencil
writing,answering questions
writing,writing
writing,writing
giving or receiving award,giving or receiving award
giving or receiving award,giving or receiving award
giving or receiving award,playing saxophone
giving or receiving award,giving or receiving award
giving or receiving award,celebrating
giving or receiving award,driving car
giving or receiving award,giving or receiving award
giving or receiving award,giving or receiving award
giving or receiving award,busking
giving or receiving award,singing
giving or receiving award,giving or receiving award
giving or receiving award,singing
giving or receiving award,giving or receiving award
giving or receiving award,giving or receiving award
giving or receiving award,giving or receiving award
giving or receiving award,giving or receiving award
giving or receiving award,giving or receiving award
giving or receiving award,singing
giving or receiving award,giving or receiving award
giving or receiving award,auctioning
giving or receiving award,reading book
giving or receiving award,plastering
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
riding mechanical bull,riding mechanical bull
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,tai chi
country line dancing,salsa dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,dancing ballet
country line dancing,archery
country line dancing,zumba
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,tai chi
country line dancing,dancing charleston
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,country line dancing
country line dancing,throwing axe
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,dancing gangnam style
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,playing trumpet
playing cricket,answering questions
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,roller skating
playing cricket,kissing
playing cricket,playing cricket
playing cricket,playing cricket
playing cricket,jumpstyle dancing
playing cricket,playing cricket
smoking,smoking
smoking,smoking
smoking,smoking
smoking,massaging back
smoking,sign language interpreting
smoking,smoking
smoking,smoking
smoking,smoking
smoking,shaving head
smoking,smoking
smoking,blasting sand
smoking,tossing coin
smoking,smoking
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,busking
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,slacklining
slacklining,front raises
slacklining,slacklining
slacklining,slacklining
slacklining,contact juggling
slacklining,slacklining
using remote controller (not gaming),catching or throwing baseball
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),answering questions
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),sharpening pencil
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),bookbinding
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),tai chi
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using computer
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using computer
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),answering questions
using remote controller (not gaming),robot dancing
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),sign language interpreting
using remote controller (not gaming),using remote controller (not gaming)
using remote controller (not gaming),using remote controller (not gaming)
robot dancing,robot dancing
robot dancing,juggling balls
robot dancing,robot dancing
robot dancing,pumping fist
robot dancing,high kick
robot dancing,headbanging
robot dancing,slapping
robot dancing,robot dancing
robot dancing,robot dancing
robot dancing,robot dancing
robot dancing,robot dancing
robot dancing,finger snapping
robot dancing,dancing gangnam style
robot dancing,robot dancing
robot dancing,kissing
robot dancing,catching or throwing frisbee
robot dancing,dancing gangnam style
robot dancing,robot dancing
robot dancing,tai chi
robot dancing,mopping floor
tango dancing,playing cello
tango dancing,testifying
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,tango dancing
tango dancing,playing accordion
tango dancing,tango dancing
tango dancing,stretching leg
yoga,yoga
yoga,applying cream
yoga,squat
yoga,walking the dog
yoga,yoga
yoga,yoga
yoga,yoga
yoga,stretching leg
yoga,stretching leg
yoga,drinking beer
sweeping floor,sweeping floor
sweeping floor,capoeira
sweeping floor,sweeping floor
sweeping floor,sweeping floor
sweeping floor,sweeping floor
sweeping floor,sweeping floor
sweeping floor,sweeping floor
sweeping floor,cleaning floor
sweeping floor,mopping floor
sweeping floor,sweeping floor
sweeping floor,sweeping floor
sweeping floor,pushing wheelchair
sweeping floor,shaking head
sweeping floor,sweeping floor
sweeping floor,sweeping floor
sweeping floor,cleaning floor
sweeping floor,crawling baby
sweeping floor,sweeping floor
sweeping floor,mopping floor
sweeping floor,sweeping floor
sweeping floor,flipping pancake
sweeping floor,sweeping floor
sweeping floor,mopping floor
bending metal,bending metal
bending metal,cutting nails
bending metal,sharpening knives
bending metal,bending metal
bending metal,shredding paper
bending metal,bending metal
bending metal,bartending
bending metal,tai chi
bending metal,bending metal
bending metal,bending metal
bending metal,bending metal
bending metal,celebrating
bending metal,bending metal
bending metal,welding
bending metal,welding
bending metal,running on treadmill
bending metal,bending metal
bending metal,welding
bending metal,bending metal
digging,digging
digging,digging
digging,beatboxing
digging,digging
digging,digging
digging,digging
digging,answering questions
digging,digging
digging,digging
digging,planting trees
digging,digging
digging,shaving head
digging,digging
digging,digging
digging,cleaning floor
digging,building shed
digging,laying bricks
digging,baking cookies
digging,digging
digging,digging
making a sandwich,making a sandwich
making a sandwich,making a sandwich
making a sandwich,cleaning floor
making a sandwich,cutting pineapple
making a sandwich,cooking egg
making a sandwich,making a cake
making a sandwich,making a sandwich
making a sandwich,making a sandwich
making a sandwich,making a sandwich
making a sandwich,making a sandwich
making a sandwich,cooking sausages
making a sandwich,eating chips
making a sandwich,making a sandwich
making a sandwich,making a sandwich
making a sandwich,making a sandwich
making a sandwich,slapping
making a sandwich,scrambling eggs
making a sandwich,making a sandwich
making a sandwich,making a sandwich
knitting,knitting
knitting,knitting
knitting,knitting
knitting,tying knot (not on a tie)
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,knitting
knitting,eating carrots
knitting,knitting
knitting,knitting
squat,swinging legs
squat,squat
squat,stretching leg
squat,squat
squat,squat
squat,high kick
squat,squat
squat,clean and jerk
squat,squat
squat,squat
squat,squat
squat,squat
squat,squat
squat,lunge
squat,squat
squat,squat
squat,squat
squat,disc golfing
squat,sign language interpreting
squat,squat
squat,squat
squat,front raises
squat,squat
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,sneezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,climbing a rope
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,trapezing
trapezing,gymnastics tumbling
unboxing,unboxing
unboxing,archery
unboxing,changing wheel
unboxing,unboxing
unboxing,bending metal
unboxing,spray painting
unboxing,shuffling cards
unboxing,trimming or shaving beard
unboxing,unboxing
unboxing,knitting
unboxing,playing paintball
unboxing,eating chips
unboxing,unboxing
unboxing,unboxing
unboxing,drinking
unboxing,unboxing
unboxing,unboxing
unboxing,unboxing
unboxing,sharpening pencil
unboxing,shuffling cards
unboxing,wrapping present
unboxing,using computer
unboxing,bookbinding
unboxing,unboxing
ironing,yoga
ironing,doing laundry
ironing,ironing
ironing,ironing
ironing,crying
ironing,yoga
ironing,ironing
ironing,ironing
ironing,ironing
ironing,ironing
ironing,ironing
ironing,yoga
ironing,making bed
ironing,ironing
ironing,ironing
ironing,ironing
ironing,ironing
ironing,ironing
ironing,folding clothes
ironing,ironing
ironing,ironing
ironing,ironing
ironing,diving cliff
ironing,ironing
ironing,ironing
ironing,folding napkins
golf chipping,golf putting
golf chipping,golf putting
golf chipping,golf putting
golf chipping,golf chipping
golf chipping,golf driving
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf driving
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf chipping
golf chipping,golf driving
